,int,int_label,has_participant,participant_label,has_dissociation_constant,dissociation_constant_value,dissociation_constant_error,is_confirmed_by,is_outcome_of
2100,http://rdf.freebase.com/ns/m.0gl4fl2,12873145-ATP-Interaction-1,http://rdf.freebase.com/ns/m.0t9s,Adenosine triphosphate,http://rdf.freebase.com/ns/m.0gl4ft9,2e-06,,http://rdf.freebase.com/ns/m.0gl4ft0,http://rdf.freebase.com/ns/m.0gl4fk1
2101,http://rdf.freebase.com/ns/m.0gl585_,14624002-MBGT-Interaction-3,http://rdf.freebase.com/ns/m.0gl58_v,14624002-MBGT-12,http://rdf.freebase.com/ns/m.0gl594s,3.3e-05,,http://rdf.freebase.com/ns/m.0gl5935,http://rdf.freebase.com/ns/m.0gl584h
2102,http://rdf.freebase.com/ns/m.0gl585_,14624002-MBGT-Interaction-3,http://rdf.freebase.com/ns/m.0gl58m9,morpholine based GTP,http://rdf.freebase.com/ns/m.0gl594s,3.3e-05,,http://rdf.freebase.com/ns/m.0gl5935,http://rdf.freebase.com/ns/m.0gl584h
2103,http://rdf.freebase.com/ns/m.0gl585_,14624002-MBGT-Interaction-3,http://rdf.freebase.com/ns/m.0gl5902,14624002-MBGT-15,http://rdf.freebase.com/ns/m.0gl594s,3.3e-05,,http://rdf.freebase.com/ns/m.0gl5935,http://rdf.freebase.com/ns/m.0gl584h
2104,http://rdf.freebase.com/ns/m.0gl585_,14624002-MBGT-Interaction-3,http://rdf.freebase.com/ns/m.0gl590b,14624002-MBGT-13,http://rdf.freebase.com/ns/m.0gl594s,3.3e-05,,http://rdf.freebase.com/ns/m.0gl5935,http://rdf.freebase.com/ns/m.0gl584h
2105,http://rdf.freebase.com/ns/m.0gl585_,14624002-MBGT-Interaction-3,http://rdf.freebase.com/ns/m.0gl590l,14624002-MBGT-11,http://rdf.freebase.com/ns/m.0gl594s,3.3e-05,,http://rdf.freebase.com/ns/m.0gl5935,http://rdf.freebase.com/ns/m.0gl584h
2106,http://rdf.freebase.com/ns/m.0gl585_,14624002-MBGT-Interaction-3,http://rdf.freebase.com/ns/m.0gl590v,14624002-MBGT-10,http://rdf.freebase.com/ns/m.0gl594s,3.3e-05,,http://rdf.freebase.com/ns/m.0gl5935,http://rdf.freebase.com/ns/m.0gl584h
2107,http://rdf.freebase.com/ns/m.0gl585_,14624002-MBGT-Interaction-3,http://rdf.freebase.com/ns/m.0gl5913,14624002-MBGT-17,http://rdf.freebase.com/ns/m.0gl594s,3.3e-05,,http://rdf.freebase.com/ns/m.0gl5935,http://rdf.freebase.com/ns/m.0gl584h
2108,http://rdf.freebase.com/ns/m.0gl585_,14624002-MBGT-Interaction-3,http://rdf.freebase.com/ns/m.0gl591c,14624002-MBGT-18,http://rdf.freebase.com/ns/m.0gl594s,3.3e-05,,http://rdf.freebase.com/ns/m.0gl5935,http://rdf.freebase.com/ns/m.0gl584h
2109,http://rdf.freebase.com/ns/m.0gl585_,14624002-MBGT-Interaction-3,http://rdf.freebase.com/ns/m.0gl591m,14624002-MBGT-20,http://rdf.freebase.com/ns/m.0gl594s,3.3e-05,,http://rdf.freebase.com/ns/m.0gl5935,http://rdf.freebase.com/ns/m.0gl584h
